id,Season,city,Date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,Team_win_id,venue,umpire1,umpire2,umpire3
156,IPL-2009,Centurion,2009-05-12 00:00:00,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,6,LRPL Taylor,13,SuperSport Park,M Erasmus,SS Hazare,""
166,IPL-2009,Centurion,2009-05-18 00:00:00,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Kolkata Knight Riders,0,7,BJ Hodge,8,SuperSport Park,SJA Taufel,RB Tiffin,""
170,IPL-2009,Centurion,2009-05-21 00:00:00,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,4,V Sehwag,4,SuperSport Park,IL Howell,S Ravi,""
171,IPL-2009,Centurion,2009-05-21 00:00:00,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,12,0,MK Pandey,13,SuperSport Park,IL Howell,S Ravi,""
172,IPL-2009,Centurion,2009-05-22 00:00:00,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,6,AC Gilchrist,2,SuperSport Park,BR Doctrove,DJ Harper,""
123,IPL-2009,Durban,2009-04-21 00:00:00,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,1,Kolkata Knight Riders,11,0,CH Gayle,8,Kingsmead,DJ Harper,SD Ranade,""
125,IPL-2009,Durban,2009-04-23 00:00:00,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,normal,0,Delhi Daredevils,9,0,AB de Villiers,4,Kingsmead,BR Doctrove,SJA Taufel,""
127,IPL-2009,Durban,2009-04-24 00:00:00,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,Kings XI Punjab,0,7,RS Bopara,6,Kingsmead,BR Doctrove,TH Wijewardene,""
128,IPL-2009,Durban,2009-04-25 00:00:00,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,normal,0,Deccan Chargers,12,0,PP Ojha,2,Kingsmead,HDPK Dharmasena,SJA Taufel,""
131,IPL-2009,Durban,2009-04-27 00:00:00,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,6,HH Gibbs,2,Kingsmead,IL Howell,TH Wijewardene,""
135,IPL-2009,Durban,2009-04-29 00:00:00,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,normal,0,Kings XI Punjab,3,0,KC Sangakkara,6,Kingsmead,MR Benson,SL Shastri,""
